gene.name	score
CREB3L2	22.5653174435256
ZDHHC20	22.5321589012811
SFMBT1	22.3517225845582
KPNA1	22.3405775920476
CLCN3	22.33385788307
PTAR1	22.3256815725025
JADE1	22.2202268262126
NR3C1	22.1861911525349
FAM161A	22.1690376590999
RNF41	22.1340696905863
ZNF107	22.1238596343707
STX6	22.0681795915733
NFIB	22.0271414840484
PANK3	21.9762750929594
UBE2D3	21.9032515394876
KDM2A	21.8470074424044
PRKAA1	21.8345286303844
SNIP1	21.8215216535689
MAPK8	21.8191421855814
SFT2D2	21.7728647038239
CCDC6	21.7079308017181
DUSP7	21.6999875033581
HIPK3	21.681940189166
ZNF207	21.6738598679673
ACBD5	21.6693933141154
TGFBR2	21.6253856753527
VANGL1	21.6224084665508
PFKFB3	21.6009864376101
PPP2R1B	21.5917114948414
CD2AP	21.5267920477918
DAD1	21.526122112702
ZFYVE26	21.5222496284796
B3GNT2	21.4672801499042
PDE3B	21.4489044857354
ZDHHC23	21.4281176699369
CNOT6	21.4086065805656
SMARCD2	21.4011047531925
USP6NL	21.3870581665104
PIKFYVE	21.3323883205287
FRMD6	21.2898823545049
RNF19A	21.2824109101135
CNOT7	21.2780682993002
ELK3	21.2084469456602
MDM2	21.163787633052
SCML2	21.1035660427552
C16orf70	21.0472301624514
ZHX1	20.9244796981716
SUZ12	20.9204543431923
QKI	20.8513695844873
RAPGEF2	20.8360985540015
IVNS1ABP	20.8143270939294
MED12L	20.763396705196
NACC2	20.7361978162904
HIPK2	20.7319209316361
SLC5A3	20.6829425701125
SAMD8	20.6539414848928
FGF2	20.6144170699857
LPP	20.6022967300965
KIF5C	20.5940583780474
GOLT1B	20.5896450310296
EOGT	20.579043817405
PTP4A1	20.5635641706242
SHANK2	20.5520774826828
ARIH1	20.5490687604309
CASP8	20.5437017136949
SRSF3	20.5386321699935
AK3	20.5275736589424
SPTSSA	20.5055813329667
WDFY3	20.4837528165294
EIF5	20.4560822819403
SLC7A1	20.45393157138
MCFD2	20.4171333062315
MAP3K2	20.3979080274444
MBNL1	20.3857812831909
EPC1	20.3759407607076
FRS2	20.3687945349099
ACADSB	20.2920194608118
FOXP1	20.287716879209
TSC1	20.2645687574599
SPOPL	20.2592979126919
FAM53B	20.229612313209
NIN	20.2210416819226
TPRG1L	20.1707507395748
UTP14C	20.1538153245249
ACVR1	20.1416355155977
ZNF292	20.1325250433372
ZFP91	20.131382541741
AFF1	20.1157828659793
ZFAND5	20.0938154776617
RAD23B	20.0803214756105
NFAT5	20.0417680796049
HNRNPR	20.0373871184741
MYLIP	20.0353028084536
GTF2A1	19.9799368691132
SACM1L	19.9197585527804
TK2	19.8952109912149
SREK1	19.8863503813831
MAP3K21	19.8645288351945
TOGARAM1	19.8518174652096
PPP3R1	19.8169954669052
PTGES3	19.8157708623569
RNF11	19.7924463186907
PMAIP1	19.7882771440188
FAM208B	19.7856926467289
TJAP1	19.761672321896
ARF6	19.7182038125787
CARNMT1	19.692575115487
ARID4B	19.6694064706773
ZDHHC21	19.6575084282917
